243.0	136.0	9.0	9.0
242	131	9	8
243	126	9	9
244	122	9	9
245	118	9	10
245	116	8	8
244	114	9	8
246	113	9	9
246	112	9	9
245	112	9	9
245	113	9	9
245	114	9	9
246	116	9	9
246	118	9	9
247	122	9	9
246	126	9	8
246	131	9	8
247	137	9	8
246	142	9	9
247	139	9	8
248	131	9	8
250	142	7	8
251	116	8	8
251	110	9	8
252	104	9	8
254	99	9	8
255	95	9	8
257	91	9	9
257	88	9	9
259	86	9	9
259	84	9	9
260	84	9	9
261	84	9	9
262	84	9	8
262	84	9	9
263	87	10	9
264	90	10	9
265	93	10	9
266	97	10	9
266	101	9	9
267	107	8	8
267	112	9	8
268	119	9	9
268	126	9	8
269	134	8	9
269	142	9	9
270	143	8	10
271	137	8	8
271	128	10	10
272	121	9	8
272	114	9	9
273	108	9	8
273	104	8	7
274	98	8	8
274	95	9	8
274	92	9	8
275	90	9	8
275	87	9	8
275	86	9	8
275	86	9	8
276	86	9	8
276	87	9	9
276	89	9	7
276	91	9	8
275	93	10	10
277	97	9	8
277	102	8	8
275	105	8	8
276	113	9	8
277	119	8	7
276	126	9	8
276	133	10	10
276	141	9	9
276	150	10	9
278	160	8	8
276	170	9	8
276	181	9	8
276	192	9	8
276	206	8	8
276	219	11	8
276	216	9	7
277	206	9	8
276.3084	199.27678	9.516048	8.403722
275.69482	192.93074	6.6134048	8.2042675
273.68118	184.59749	9.713463	9.135448
273.0229	180.68088	10.168188	9.378464
274.13187	174.87463	10.526932	8.342778
273.86072	170.32314	10.794858	8.252673
273.6231	167.41647	7.72641	7.5996265
274.29315	164.0921	8.450783	8.816128
274.1802	151.75566	8.288775	10.220491
268.7695	141.69073	22.693485	20.73229
256.3268	113.87873	37.524952	33.63768
268.73795	122.97664	20.331598	19.073914
261.16934	116.29753	29.593845	29.761747
287	155	10	8
255.68709	112.99968	13.103614	14.971585
285	155	9	9
254.23749	111.17089	15.821713	18.340738
255.88055	112.609344	13.308765	15.79914
255.33093	112.54239	14.441831	15.899166
254.09451	111.893845	15.636034	17.228594
250.34357	109.65397	25.22754	23.566057
326	108	8	8
326	110	9	9
325	115	7	7
344	110	8	7
252.60806	111.49181	22.346434	20.652042
325	110	8	8
325	107	9	8
326	104	7	7
326	102	8	6
327	100	7	7
327	98	8	7
327	97	8	7
328	97	8	8
328	97	8	8
328	98	8	7
328	99	8	8
329	102	7	7
328	104	8	8
328	107	10	9
349	111	7	7
329	114	8	8
349	110	7	8
350	110	7	7
350	109	8	7
351	109	7	7
352	110	7	8
351	109	8	8
352	109	8	8
273.13373	149.70084	8.450135	9.227237
328	108	9	8
329	110	7	6
354	108	7	7
355	107	7	7
277.15317	127.20135	10.12643	10.268599
329	108	6	6
355	106	7	8
280.615	122.7109	9.892287	9.360413
329	107	7	7
283.07288	123.22775	9.447486	9.276413
330	109	7	6
331	109	7	6
332	109	6	6
331	109	7	6
332	109	6	6
332	109	7	7
334	109	5	6
288.00845	149.2187	11.066634	10.668165
289.4014	156.2652	9.360521	9.022234
294.18707	157.7429	10.84444	9.1450615
297.91208	155.00667	11.345061	10.85698
324	159	7	7
324	155	8	8
324	152	9	8
304	157	9	9
304	157	10	10
305	158	9	10
304	159	11	11
323.71713	143.07527	8.843177	8.8056
324.50632	143.67384	8.092227	8.478594
324.8048	144.68954	7.922209	8.279797
325.65295	145.7137	7.6379986	8.412685
325	147	7	9
326	147	8	12
327	148	9	10
326	149	10	13
326	152	10	12
326.15683	150.89113	19.139622	16.698084
318.6843	130.74872	16.124702	15.886048
325	154	10	10
325	154	8	9
324	154	8	8
324	154	9	9
323	152	11	11
323	152	10	10
323	151	12	11
324	152	10	10
323	151	11	11
323	151	9	10
324	151	8	9
335.12927	87.18633	8.894425	9.147402
323	150	11	10
323	149	9	9
323	149	9	9
324	150	7	6
349.1861	89.18717	7.033921	7.368971
321	148	9	9
314	132	10	11
314	130	11	10
315	129	10	10
316	128	10	10
316	127	10	9
319	150	6	7
318	151	7	6
317	152	7	7
317	150	8	8
316	151	9	9
352.89963	95.763596	7.1057844	7.32579
352.94678	95.785385	7.504514	6.9182835
311	166	8	8
311	165	9	10
352.68668	96.92546	7.450042	6.852633
353.3164	96.9882	7.116722	6.8452334
352.7855	96.63751	7.789789	6.622352
353.1032	98.16744	6.746539	6.092599
351.61594	97.38736	7.6206813	6.854429
351.05716	97.74235	7.830332	6.944502
328	140	11	11
329	136	11	11
331	135	10	10
331	132	11	12
332	130	12	11
334	131	10	11
334	128	10	11
335	132	12	11
336	133	12	11
338	137	10	10
339	140	11	11
339	143	11	11
341	147	11	12
342	152	11	12
343	160	10	10
343	166	12	12
351.9484	91.5776	6.6593018	5.5413957
343	159	11	11
340	151	12	12
341	146	10	11
340	141	11	11
339	134	12	13
339	131	11	12
338	128	11	11
336	126	12	11
336	124	11	11
334	124	11	10
334	124	10	10
332	124	12	10
332	126	11	10
331	128	11	10
330	130	11	11
328	133	11	12
327	138	12	11
326	143	11	10
326	149	10	10
325	155	10	10
351.46945	92.09187	5.7114644	5.1926556
352.0514	90.443825	6.3076496	5.170087
351.13147	87.250305	6.983567	6.9439507
350.55756	86.05636	8.685286	7.0128846
352.01178	85.39291	7.226205	7.3985267
345.42148	79.91333	16.143732	13.741824
313	163	8	9
315.24094	92.76042	41.713627	42.613686
298.15225	113.611206	17.921827	20.975334
308	139	8	9
309	140	8	8
316	145	8	7
314	138	7	8
321	122	10	10
321	122	11	11
320	124	10	11
319	127	10	9
319	129	10	9
318	133	10	9
318	138	9	9
318	143	10	9
325	136	9	7
327	135	9	9
327	135	10	10
328	134	9	10
329	135	10	10
314	157	9	8
312	150	10	9
311	143	10	9
310	136	10	9
309	132	11	10
307	127	10	9
306	123	9	9
304	119	10	10
301	118	11	12
290	127	10	12
300	116	10	12
299	115	10	10
297	116	11	10
296	118	11	10
295	119	10	9
293	123	11	12
291	126	11	11
290	128	11	11
289	128	11	13
292	127	10	10
293	127	9	11
293	128	8	10
293	128	10	11
293	128	10	11
293	127	11	10
294	128	10	11
293	127	10	11
293	128	11	10
291	129	10	10
293	127	12	12
293	123	11	10
296	119	10	9
297	116	10	9
299	113	10	10
299	112	10	10
301	111	12	11
301	110	12	12
303	112	12	12
306	127	6	7
306	126	6	7
307.28592	117.60687	10.574328	11.124707
308.26022	121.51435	11.0123	10.86444
308	91	9	14
306	90	11	12
305	90	12	13
314.13318	143.33067	10.055766	9.701445
314.78024	150.98358	10.410407	10.130363
315.3657	158.74461	10.423714	9.818579
316.82187	167.8255	10.14469	9.426929
318.39288	177.00238	10.062286	9.510014
317.68753	171.87851	10.961315	10.112656
257	48	7	9
257	48	6	9
258	48	5	9
319.4579	143.33646	10.709785	10.416882
320.01657	138.73691	10.43867	10.017033
319.6371	133.73753	10.441202	10.285896
319.593	130.63382	10.68124	9.667847
320.36313	127.60963	10.8167095	10.101823
320.663	125.87738	10.690831	10.203468
320.30173	125.00794	9.901339	9.33809
258	49	5	7
320.42383	123.535706	10.310455	10.118226
320.3025	124.203026	10.531095	9.239919
258	49	5	7
320.55698	128.09258	10.319804	10.185782
320.52835	132.0393	10.61855	10.294033
320.959	135.44078	10.651406	10.309155
320.6942	140.88338	10.855026	9.750156
320.67557	145.78214	10.696253	10.26836
320.22052	152.32256	10.332875	10.339397
320.52042	159.2784	10.750621	10.281728
320.39044	166.32472	10.590895	10.510889
319.9922	175.60605	10.537014	10.504508
351	94	7	7
361	109	7	7
320.2988	173.19933	9.516044	10.719102
360	108	8	8
385	104	12	15
318.6897	156.21703	10.712844	10.485874
384	99	8	8
384	100	8	7
399	82	8	8
400	82	8	7
316.9147	143.10347	11.272526	10.692112
316.69522	142.96788	10.625498	10.533243
315.38986	143.41089	11.138655	10.395382
400	82	6	7
400	84	6	6
400	85	7	6
401	86	8	8
313.69855	158.08286	10.6073475	10.27064
312.43616	162.37596	10.571981	10.261164
313.00842	168.8452	10.778075	9.920767
391	103	8	8
312.2145	177.41862	10.482136	8.422276
310.5814	174.24884	11.324182	10.490614
310.05948	166.75626	10.832822	10.501693
310.48175	160.17303	10.930407	10.502554
356	95	6	8
309.03076	148.97795	11.152418	10.878101
307.58633	145.26552	11.123506	10.271029
307.48782	141.90974	10.868975	9.844741
358	93	8	7
306.62878	136.83633	10.716256	10.382981
305.86935	135.1808	10.914612	10.744362
304.4798	135.00645	11.034437	10.930595
359	92	7	9
359	92	7	7
302.4256	139.18918	11.079312	10.663341
302.29245	141.80777	10.524192	9.828609
301.4279	145.69846	10.454653	10.613229
325	94	8	8
326	90	10	8
286.28845	154.75285	23.412447	18.499546
279.0671	149.09103	21.176828	17.09261
